"frame","meanBase","meanPPAO","meanPPDP","meanComb","rawBase2","rawBase3","rawBase4","rawBase5","rawBase6","rawPPAO2","rawPPAO3","rawPPAO4","rawPPAO5","rawPPAO6","rawPPDP2","rawPPDP3","rawPPDP4","rawPPDP5","rawPPDP6","rawComb2","rawComb3","rawComb4","rawComb5","rawComb6"
24,110.3210922242,24.0451511383,11.35749168396,11.77391967774,115.595474243,111.119667053,107.283332825,106.284088135,111.322898865,22.9717998505,24.2517738342,24.5525226593,24.772693634,23.6769657135,11.1507663727,11.9406137466,11.2785577774,11.0373439789,11.3801765442,11.8785142899,11.578792572,11.7563676834,11.8595247269,11.7963991165
25,109.7654800414,23.99598464964,11.31530494692,11.68420867922,109.42603302,113.741203308,109.82019043,105.920219421,109.919754028,23.4562797546,24.1409187317,23.8222084045,23.7616481781,24.7988681793,11.2221040726,11.3160238266,11.473069191,11.0609521866,11.5043754578,11.5202856064,11.7963991165,11.7219820023,11.788187027,11.5941896439
26,109.150228882,23.66136436462,11.3056564331,11.70022087096,109.222801208,111.027801514,109.683158875,108.709060669,107.108322144,24.0064544678,23.8483829498,23.6620826721,23.2412414551,23.5486602783,11.1959295273,11.5259313583,11.1446075439,11.4084033966,11.2534103394,11.5572376251,11.8056364059,11.4935979843,11.9442062378,11.7004261017
27,107.3524124144,23.49374580382,11.4233892441,11.89699020388,107.486053467,105.847854614,107.909461975,106.726997375,108.791694641,23.3839168549,23.6425800323,23.3305416107,23.6241035461,23.4875869751,11.2816371918,11.2970342636,11.3976259232,11.5274705887,11.6131782532,11.9631958008,11.8831329346,11.8210334778,11.8523397446,11.9652490616
28,109.3867233278,24.3628353119,11.53147392272,11.93784275054,107.805282593,112.186141968,106.821434021,108.079856873,112.040901184,24.1686325073,24.5345592499,24.5776691437,23.6774787903,24.8558368683,11.3509225845,11.5639095306,11.0399103165,11.5551843643,12.1474428177,11.8882656097,11.7999916077,11.89955616,11.7681713104,12.3332290649
29,108.689253235,23.94856262206,11.37381210328,11.88292789462,111.659576416,107.683647156,106.255348206,107.865325928,109.982368469,24.016204834,23.938709259,23.5640563965,24.5186500549,23.7051925659,11.04093647,11.6157445908,11.6311416626,11.4869260788,11.0943117142,12.0042533875,11.9103336334,11.8241128922,11.7502088547,11.9257307053
30,110.2551956178,24.63607444762,11.39146690368,12.09221954346,111.534347534,110.326225281,108.393943787,110.283630371,110.737831116,25.379322052,23.7231559753,25.18891716,24.8609676361,24.0280094147,11.4325246811,11.3031930923,11.200548172,11.8780012131,11.1430673599,11.8969898224,12.0848293304,12.3445196152,12.2516260147,11.8831329346
31,112.8608200072,23.7789943695,11.50683918,12.07579669952,113.807403564,113.333190918,110.982635498,113.707328796,112.47354126,24.475025177,23.2792186737,23.8442764282,23.9792537689,23.3171977997,11.7835683823,11.2277488708,11.4140491486,11.678358078,11.4304714203,12.0329942703,12.0904750824,11.9411277771,12.3024349213,12.0119514465
32,110.4568893434,23.72130813598,11.6369922638,11.8440258026,109.043167114,107.714950562,110.557174683,116.163093567,108.806060791,23.5229988098,23.7041664124,23.5127353668,23.9315242767,23.9351158142,11.5464601517,11.9832115173,11.5777664185,11.4499740601,11.6275491714,11.8744087219,11.6634740829,11.8046102524,11.9282970428,11.949338913
33,109.8449234008,23.96385688784,11.7201341629,12.06122112272,108.749092102,112.429916382,109.688804626,109.06010437,109.296699524,24.2810287476,24.5299396515,23.7436847687,23.2515048981,24.0131263733,11.8061504364,12.0098991394,11.5459470749,11.8020439148,11.436630249,11.9431800842,12.0637874603,11.8564453125,12.3809585571,12.0617341995
34,110.6386749268,23.98418045044,11.79547500612,12.1793647766,106.8855896,110.385757446,110.873832703,113.972663879,111.075531006,24.0008087158,23.8129692078,24.2014789581,23.9351158142,23.9705295563,11.1415281296,11.6244697571,12.4394655228,12.1469287872,11.6249828339,11.9662752151,12.5585327148,12.0412054062,12.1689977646,12.1618127823
35,111.0132232666,23.81030082702,11.5859779358,12.16940822602,112.74811554,109.875617981,112.047058105,109.987495422,110.407829285,23.2807598114,24.1439971924,24.914855957,23.0934333801,23.6184577942,11.5546712875,11.6891355515,11.5464601517,11.690161705,11.4494609833,12.1053581238,12.0489034653,12.5775222778,12.1115169525,12.0037403107
36,111.018663025,24.73440780638,11.6959098816,12.15082969666,108.980560303,111.247459412,112.218986511,111.884361267,110.761947632,24.93384552,25.0293045044,24.6330986023,24.2225208282,24.853269577,11.4766616821,12.4676923752,11.5541582108,11.4797410965,11.5012960434,12.2931976318,12.1828546524,12.2069759369,12.0884218216,11.9826984406
37,111.4017303466,24.1901878357,11.84002285006,12.02621955872,110.428871155,109.505065918,112.614677429,112.368331909,112.091705322,23.7005748749,23.6230773926,24.242023468,25.2114982605,24.1737651825,11.7291669846,11.5849514008,11.3776102066,12.4348468781,12.0735387802,12.0530099869,11.9431800842,12.1407709122,11.8348903656,12.1592464447
38,112.8155548096,24.00368270874,11.47399311068,12.21446914674,111.386543274,115.141784668,114.750190735,111.857681274,110.941574097,23.712890625,24.4262695312,23.273059845,24.7229118347,23.8832817078,11.5870046616,11.6106128693,11.5120744705,11.6773309708,10.9829425812,12.1351251602,12.0509567261,12.3732595444,12.0745649338,12.4384393692
39,110.1539871216,24.19696197508,11.58710708618,12.07733631134,113.231056213,108.713684082,109.377281189,108.611038208,110.836875916,24.6454143524,23.7447109222,23.9674491882,24.5602207184,24.0670146942,11.6639881134,11.3421974182,11.9868040085,11.4597253799,11.4828205109,11.9221382141,12.0848293304,11.918545723,12.2511129379,12.2100553513
40,111.1871032716,25.75869522092,11.88877887726,11.97849006654,112.985221863,111.405532837,111.596450806,108.486839294,111.461471558,26.2204914093,25.6179695129,25.0349502563,25.8827934265,26.0372714996,11.8759479523,12.167971611,11.6763048172,11.8805675507,11.8431024551,12.0596818924,11.8277053833,12.1033058167,11.9046888351,11.9970684052
41,111.679588318,25.3381614685,11.72588214874,12.06163177492,109.85559845,111.601066589,115.957801819,110.301589966,110.681884766,24.7639694214,25.2438316345,25.6112976074,25.2771911621,25.7945175171,11.6619348526,12.0945806503,11.4658842087,11.6870822906,11.7199287415,12.0370998383,11.9929628372,12.1551408768,12.0011739731,12.1217813492
