"frame","meanBase","meanPPAO","meanPPDP","meanComb","rawBase2","rawBase3","rawPPAO2","rawPPAO3","rawPPDP2","rawPPDP3","rawComb2","rawComb3"
87,141.8280181885,40.3189468384,19.19987773895,21.0723657608,141.613235474,142.042800903,40.2201499939,40.4177436829,18.8891220093,19.5106334686,20.9399547577,21.2047767639
88,142.977897644,40.20064926145,19.34742832185,21.3561782837,142.98097229,142.974822998,40.239654541,40.1616439819,19.568113327,19.1267433167,21.1606407166,21.5517158508
89,144.4457092285,40.62841796875,19.1449623108,21.47113990785,144.49446106,144.396957397,41.3687400818,39.8880958557,19.3633384705,18.9265861511,21.2802219391,21.6620578766
90,146.975379944,40.10672950745,19.5912094116,21.5401678085,147.204788208,146.74597168,40.3638534546,39.8496055603,19.5229511261,19.6594676971,21.3618240356,21.7185115814
91,147.5173416135,41.48703956605,19.4192790985,21.71646022795,147.274581909,147.760101318,40.8770751953,42.0970039368,19.568113327,19.27044487,21.5234889984,21.9094314575
92,149.000038147,41.146774292,19.68435764315,22.11292266845,148.96975708,149.030319214,40.9330177307,41.3605308533,19.745174408,19.6235408783,22.1029148102,22.1229305267
93,150.047531128,42.39800643925,20.2696876526,21.6405029297,149.887405396,150.20765686,42.4531784058,42.3428344727,20.174741745,20.3646335602,21.5311870575,21.7498188019
94,151.1170806885,41.82294273375,20.00691890715,21.9787158966,151.476333618,150.757827759,41.8208885193,41.8249969482,20.1054573059,19.9083805084,22.1834907532,21.77394104
95,151.8278884885,42.68695259095,20.13086128235,22.32231807705,151.848419189,151.807357788,42.209400177,43.1645050049,20.440076828,19.8216457367,22.2738189697,22.3708171844
96,153.0293426515,42.37773513795,19.69333934785,22.424448967,153.728866577,152.329818726,42.5866165161,42.1688537598,19.5198707581,19.8668079376,22.2230091095,22.6258888245
97,152.983657837,42.3548965454,20.70156383515,22.31590271,153.079116821,152.888198853,42.6502571106,42.0595359802,20.4585533142,20.9445743561,22.1003494263,22.5314559937
98,154.439163208,43.302816391,20.2894458771,22.88891410825,154.382705688,154.495620728,42.3838920593,44.2217407227,20.1572914124,20.4216003418,22.6248607635,23.152967453
99,155.624702454,44.0274848938,20.89273834225,23.10010528565,155.649337769,155.600067139,44.3356742859,43.7192955017,21.0954608917,20.6900157928,22.8152675629,23.3849430084
100,104.4929466245,14.08228826525,11.6788711548,12.8631300926,104.469337463,104.516555786,13.7835931778,14.3809833527,11.8040971756,11.553645134,12.6514263153,13.0748338699
101,105.613822937,14.04148674015,11.87748765945,13.5611114502,105.455749512,105.771896362,13.9904212952,14.0925521851,11.8903179169,11.864657402,13.5475111008,13.5747117996
102,106.792694092,14.385345459,11.7802324295,13.2239251137,106.676704407,106.908683777,14.1957101822,14.5749807358,11.8959636688,11.6645011902,13.0430145264,13.404835701
103,108.379829407,14.4766988754,12.0260653496,13.4412741661,108.449371338,108.310287476,14.4292259216,14.5241718292,12.2305841446,11.8215465546,13.2939796448,13.5885686874
104,109.2718086245,14.0489282608,12.08482933045,13.3768649101,109.437324524,109.106292725,13.9000940323,14.1977624893,12.0909881592,12.0786705017,13.3283653259,13.4253644943
105,110.4219398495,14.27294969555,12.3350248337,13.46565198895,110.399101257,110.444778442,14.1023035049,14.4435958862,12.3799314499,12.2901182175,13.4233112335,13.5079927444
106,111.460186005,14.16106748585,12.3132133484,13.95295619965,111.252586365,111.667785645,14.1561918259,14.1659431458,12.4856557846,12.1407709122,14.0130033493,13.89290905
107,112.6916618345,14.48311376575,12.5362076759,13.9693789482,112.534614563,112.848709106,14.4097232819,14.5565042496,12.575469017,12.4969463348,13.8364543915,14.1023035049
108,113.6862869265,15.02584552765,12.36299562455,13.8988113403,113.641120911,113.731452942,14.9003629684,15.1513280869,12.233663559,12.4923276901,13.8374814987,13.9601411819
109,114.462791443,15.2116322517,12.6701583862,14.35891389845,114.540802002,114.384780884,15.1559476852,15.2673168182,12.8053922653,12.5349245071,13.9888811111,14.7289466858
110,115.7784347535,15.3717575073,12.59214925765,14.35532188415,115.951133728,115.605735779,15.2467880249,15.4967269897,12.7797317505,12.4045667648,14.1633768082,14.5472669601
111,117.7620391845,15.62246608735,12.9685969353,14.39612293245,117.623725891,117.900352478,15.5413770676,15.7035551071,12.7966680527,13.1405258179,14.238820076,14.5534257889
112,118.5721588135,15.61451101305,12.99682426455,14.66967010495,118.324272156,118.820045471,15.6743011475,15.5547208786,12.9336977005,13.0599508286,14.5595836639,14.779756546
113,119.694828033,15.65043640135,13.0668792725,14.69533109665,119.734092712,119.655563354,15.725110054,15.5757627487,13.1615686417,12.9721899033,14.4831142426,14.9075479507
114,120.5185508725,16.07615423205,13.11050271985,14.7843747139,120.696380615,120.34072113,15.9745359421,16.177772522,13.0040092468,13.2169961929,14.647857666,14.9208917618
115,121.4000053405,15.85495567325,13.12872219085,14.7877111435,121.238342285,121.561668396,15.9765892029,15.7333221436,13.1246166229,13.1328277588,14.6596622467,14.9157600403
116,122.556037903,16.09745311735,13.24111795425,14.9881243706,122.574256897,122.537818909,15.9832611084,16.2116451263,13.2354726791,13.2467632294,14.8711099625,15.1051387787
117,123.435955048,16.35406303405,13.57265853885,15.0461177826,123.629440308,123.242469788,16.3502140045,16.3579120636,13.5690660477,13.57625103,14.9414205551,15.1508150101
118,124.8996658325,16.1736655235,13.5444316864,15.2052168846,124.621498108,125.177833557,16.3928108215,15.9545202255,13.6178226471,13.4710407257,15.0928211212,15.317612648
119,125.8355255125,15.91166591645,13.78744220735,15.2334442139,125.795753479,125.875297546,15.619386673,16.2039451599,13.8554439545,13.7194404602,15.1292600632,15.3376283646
120,127.556869507,16.5921983719,14.00248193745,15.6222090721,127.391357422,127.722381592,16.4949436188,16.689453125,13.9452581406,14.0597057343,15.5054512024,15.7389669418
121,128.768585205,16.68021583555,13.97784757615,15.6796898842,128.585113525,128.952056885,16.4815998077,16.8788318634,13.942691803,14.0130033493,15.5937252045,15.7656545639
122,129.876373291,16.7171678543,14.2637119293,15.7025284767,129.869186401,129.883560181,16.7048511505,16.7294845581,14.2121334076,14.315290451,15.7102270126,15.6948299408
123,131.386528015,17.24424648285,14.14156484605,15.91243600845,131.398590088,131.374465942,17.2755527496,17.2129402161,14.1105146408,14.1726150513,15.8908805847,15.9339914322
124,133.1037750245,17.03639125825,14.3045129776,16.2062549591,132.86076355,133.346786499,17.1564846039,16.9162979126,14.3655862808,14.2434396744,16.1613483429,16.2511615753
125,135.381698608,17.6109428406,14.3822655678,16.34328556065,135.376052856,135.38734436,17.6137657166,17.6081199646,14.4954309464,14.2691001892,16.1854705811,16.5011005402
126,136.279586792,17.44157981875,14.5821657181,16.25757789615,136.242889404,136.31628418,17.3792228699,17.5039367676,14.4795217514,14.6848096848,16.0792331696,16.4359226227
127,137.3552932735,17.35715484615,14.6540169716,16.5347166061,137.520294189,137.190292358,17.3915405273,17.322769165,14.7161169052,14.591917038,16.4944286346,16.5750045776
128,138.6098709105,17.4939289093,14.78283548355,16.63197231295,138.695068359,138.524673462,17.4772491455,17.5106086731,14.5795993805,14.9860715866,16.6971511841,16.5667934418
129,140.721008301,17.86960601805,15.0307216644,16.93733978275,140.815185547,140.626831055,17.8118686676,17.9273433685,15.0851230621,14.9763202667,16.7017707825,17.172908783
130,142.652252197,18.22373008725,15.30272865295,17.09310245515,142.643783569,142.660720825,18.3153400421,18.1321201324,15.5290594101,15.0763978958,16.9676189423,17.218585968
131,144.3751449585,18.59709835055,15.36020994185,17.4541540146,144.494979858,144.255310059,18.4770050049,18.7171916962,15.4094791412,15.3109407425,17.4284934998,17.4798145294
132,145.9794692995,18.69538021085,15.4921078682,17.5088119507,146.019760132,145.939178467,18.6140346527,18.776725769,15.5141763687,15.4700393677,17.2673416138,17.7502822876
133,147.3022994995,18.52088451385,15.65120649335,17.80750656125,147.564559937,147.040039062,18.3728199005,18.6689491272,15.6157941818,15.6866188049,17.687669754,17.9273433685
134,148.707244873,19.05591869355,15.8346834183,17.98277187345,148.877380371,148.537109375,19.2170696259,18.8947677612,16.0217533112,15.6476135254,17.9930362701,17.9725074768
135,150.0064620975,19.1234073639,15.9966044426,18.24143600465,150.229202271,149.783721924,19.0708026886,19.1760120392,15.9806947708,16.0125141144,17.9304237366,18.5524482727
136,151.99546051,19.45109844205,16.19291210175,18.38385486605,151.746292114,152.244628906,19.2724971771,19.629699707,16.0853919983,16.3004322052,18.2547798157,18.5129299164
137,153.864868164,19.1929483414,16.21882915495,18.27659130095,153.731430054,153.998306274,18.9065704346,19.4793262482,16.1136188507,16.3240394592,18.1901130676,18.3630695343
138,155.494598389,19.67409420015,16.2914505005,18.59401893615,155.465087891,155.524108887,19.6245689392,19.7236194611,16.1736660004,16.4092350006,18.5144691467,18.6735687256
139,157.145378113,19.6345758438,16.56499767305,18.6951236725,157.130493164,157.160263062,19.7487678528,19.5203838348,16.7382106781,16.391784668,18.7423400879,18.6479072571
140,158.8269500735,19.6776866913,16.84649944305,18.824968338,158.609603882,159.044296265,19.8103542328,19.5450191498,16.8377742767,16.8552246094,18.6545791626,18.9953575134
141,160.911140442,20.41287708285,16.7764453888,19.19885158535,160.936035156,160.886245728,20.3143386841,20.5114154816,16.7936382294,16.7592525482,19.0769615173,19.3207416534
142,163.1498184205,20.7575054169,17.1659793854,19.3294658661,163.081298828,163.218338013,20.6941223145,20.8208885193,17.054353714,17.2776050568,19.0749073029,19.5840244293
143,164.442367554,20.6664085388,17.2950553894,19.4123506546,164.544494629,164.340240479,20.6186790466,20.714138031,17.1405754089,17.4495353699,19.1888427734,19.6358585358
144,166.075180054,20.9012069702,17.43670463565,19.72592926025,166.089294434,166.061065674,20.9609966278,20.8414173126,17.6676540375,17.2057552338,19.6373977661,19.8144607544
145,167.5052719115,20.86605072025,17.57886695865,19.7734031677,167.281509399,167.729034424,20.5950698853,21.1370315552,17.5516662598,17.6060676575,19.7400436401,19.8067626953
146,169.340805054,21.0621013641,17.6291618347,19.96971035005,169.315917969,169.365692139,20.9127540588,21.2114486694,17.8308582306,17.4274654388,20.0582408905,19.8811798096
147,170.238685608,21.68900203705,17.63018894195,20.26840400695,170.523010254,169.954360962,21.6543598175,21.7236442566,17.6332683563,17.6271095276,19.9540557861,20.5827522278
148,171.9613113405,21.5853309631,17.94017505645,20.5239896774,171.919998169,172.002624512,21.623052597,21.5476093292,17.8154621124,18.0648880005,20.083902359,20.9640769958
